AGE,Range,ID,Cliente,Estado,opco_lico,Helpdesk,Titulo,categoria1,categoria2,categoria3,categoria4,categoria5,categoria6,Fecha de Creación,esta_com_a_v30
25,>15 y <=30,3740358,LAR.CPY Scalabrini Ortiz y Paraguay,ABERTO,OPCO,INSALES,CPY - VENTAS NO PROCESADAS EN INSALES 03/04,RESTAURANT,SOFTWARE,FLEX BACKOFFICE,REENVIO DE INTERFACES,ERROR EN INCORPORACION DE VENTAS,,2023-04-04 00:00:00,
24,>15 y <=30,3742807,Diogo Henrique Fragoso Loiola,ABERTO,,NP6_BRA_Support,LECTURA DEL QRCODE PEDIDOS CON ERRROR DEL INTEGRACION - CIERRE DEL VENTA MANUAL DEL MOP,RESTAURANTE BRASIL,APLICAÇÃO,NP6,FALHA/ERRO,,,2023-04-05 00:00:00,
24,>15 y <=30,3742816,Diogo Henrique Fragoso Loiola,ABERTO,,NP6_BRA_Support,ENVIO MCID EN LAS VENTAS HECHAS OFFLINE DEL LOYALTY (HOY SOLO ENVIA CPF),RESTAURANTE BRASIL,APLICAÇÃO,NP6,FALHA/ERRO,,,2023-04-05 00:00:00,
24,>15 y <=30,3742841,Diogo Henrique Fragoso Loiola,ABERTO,,NP6_BRA_Support,CAMBIO DEL FLUJO ENVIO VENTA HASTA SESSIONM (GIGIGO X NP6),RESTAURANTE BRASIL,APLICAÇÃO,NP6,FALHA/ERRO,,,2023-04-05 00:00:00,
52,>45 y <=60,3668055,Rogerio Carlos Vargas,ABERTO,,NP6_BRA_Support,BR - MR4.2.5 FIX1 - PROD - PAC - PEDIDOS SAINDO ZERADOS,RESTAURANTE BRASIL,HARDWARE,NGK/TOTEM,NÃO LIGA,,,2023-03-08 00:00:00,
27,>15 y <=30,3733570,LVI.TUT TutuPark,ABERTO,,NP6_Support,TUT  -  POS02-IP82/POS03-IP83  PINPAD  NO PROCESA COBRO,RESTAURANT,SOFTWARE,PINPAD,NO PROCESA COBRO,,,2023-04-02 00:00:00,
37,>30 y <=45,3709508,Jesus Ramirez River,PENDENTE,,NP6_Support,MODENA 1 CON MAS DE UN FACTOR DE CONVERSION,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,,,2023-03-23 00:00:00,
46,>45 y <=60,3681135,LAR.SDE Santiago del Estero,EM ESPERA,LICO,NP6_Support,SDE - MONITOR ORB NO MUESTRA PEDIDOS MOP,RESTAURANT,SOFTWARE,Monitor Orb,NO MUESTRA PEDIDOS A CLIENTE,,,2023-03-14 00:00:00,
59,>45 y <=60,3649153,Jesus Ramirez River,EM ESPERA,,NP6_Support,ERROR EN RECALL EN ORDENES DE DLV CON DESCUENTO - QA - MR10.2,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,,,2023-03-01 00:00:00,
44,>30 y <=45,3689938,LCL.PDH Padre Hurtado,EM ESPERA,LICO,NP6_Support_Developer,PDH - POS 71 NO ENCIENDE,RESTAURANT,SOFTWARE,NEWPOS,NO INICIA NEWPOS,,,2023-03-16 00:00:00,
59,>45 y <=60,3649341,Jesus Ramirez River,ABERTO,,NP6_Support_Developer,INTIGRACION FISERV - QA-,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,,,2023-03-01 00:00:00,
52,>45 y <=60,3668294,Jesus Ramirez River,ABERTO,,NP6_Support_Developer,RECUADRO NO OFFER IN PROGRESS - QA -MR10.2,RESTAURANT,SOFTWARE,NEWPOS,NO CATEGORIZADO,,,2023-03-08 00:00:00,
29,>15 y <=30,3728421,LAR.LGM Los Gallegos MDP,ABERTO,OPCO,OFFICE_365,LGM - CALENDARIO NO RECIBE ACTUALIZACIONES DE REUNIONES,RESTAURANT,SOFTWARE,Webmail,NO CATEGORIZADO,,,2023-03-31 00:00:00,
24,>15 y <=30,3743912,AND ANDORINHA HIPERMERCADO - OPCO - S - B,ABERTO,OPCO,OFFICE_365,SEM ACESSO,RESTAURANTE BRASIL,ACESSO,OUTLOOK,SENHA,,,2023-04-05 00:00:00,MR4.2.5 
24,>15 y <=30,3743605,WPL SHOPPING WEST PLAZA - OPCO - S - M,ABERTO,OPCO,OFFICE_365,LINK SHARE POINT,RESTAURANTE BRASIL,SOFTWARE,SHAREPOINT,ERROR,,,2023-04-05 00:00:00,MR4.2.5 
24,>15 y <=30,3743851,AEM AV ERMANO MARQUETTI - OPCO - S - A,ABERTO,OPCO,OFFICE_365,SHAREPOINT,RESTAURANTE BRASIL,SOFTWARE,SHAREPOINT,ERROR,,,2023-04-05 00:00:00,MR4.2.5 
24,>15 y <=30,3743941,ANZ AV NAZARE - OPCO - S - A,ABERTO,OPCO,OFFICE_365,LINK DOS SHARE POIT,RESTAURANTE BRASIL,SOFTWARE,SHAREPOINT,REQUEST/ QUESTION,,,2023-04-05 00:00:00,MR4.2.5 
